word_id,tag_id
343,1711
343,1712
343,1713
344,1658
344,1700
344,1714
344,1715
344,1716
345,1529
345,1719
345,1720
345,1721
345,1722
346,1724
346,1725
346,1726
346,1727
346,1728
347,1673
347,1704
347,1730
347,1731
347,1732
348,1734
348,1735
348,1736
348,1737
348,1738
349,1739
349,1740
349,1741
349,1742
349,1743
350,284
350,1744
350,1745
350,1746
350,1747
351,1219
351,1749
351,1750
351,1751
351,1753
352,1754
352,1755
352,1756
352,1757
352,1758
353,1759
353,1760
353,1761
353,1762
353,1763
354,1682
354,1764
354,1765
354,1766
354,1767
355,1769
355,1770
355,1771
355,1772
355,1773
356,1364
356,1774
356,1776
356,1777
356,1778
357,1779
357,1780
357,1781
357,1782
357,1783
358,1784
358,1785
358,1786
358,1787
358,1788
359,1789
359,1791
359,1792
359,1793
360,1794
360,1795
360,1796
360,1797
360,1798
361,1789
361,1799
361,1800
361,1802
361,1803
362,1789
362,1804
362,1806
362,1807
362,1808
363,142
363,1809
363,1810
363,1811
363,1812
364,292
364,1814
364,1816
364,1817
364,1818
365,1819
365,1820
365,1821
365,1822
365,1823
366,1824
366,1825
366,1826
366,1827
366,1828
367,142
367,1827
367,1829
367,1830
367,1832
368,1834
368,1835
368,1836
368,1837
368,1838
369,1839
369,1840
369,1841
369,1842
369,1843
370,282
370,284
370,1844
370,1845
370,1846
371,1849
371,1850
371,1851
371,1852
371,1853
372,290
372,1854
372,1855
372,1856
372,1857
373,1786
373,1859
373,1860
373,1861
373,1863
374,280
374,1864
374,1865
374,1866
374,1867
375,1869
375,1870
375,1871
375,1872
375,1873
376,365
376,1874
376,1875
376,1876
376,1877
377,1865
377,1879
377,1880
377,1881
377,1883
378,1884
378,1885
378,1886
378,1887
378,1888
380,160
380,1894
380,1895
380,1896
380,1898
381,1899
381,1900
381,1901
381,1902
381,1903
382,1877
382,1904
382,1905
382,1906
382,1908
383,103
383,1909
383,1911
383,1912
383,1913
384,1914
384,1915
384,1916
384,1917
384,1918
385,1919
385,1920
385,1921
385,1922
385,1923
386,1924
386,1925
386,1926
386,1927
386,1928
387,1929
387,1930
387,1931
387,1932
387,1933
388,1934
388,1935
388,1936
388,1937
388,1938
389,1939
389,1940
389,1941
389,1942
389,1943
390,1944
390,1945
390,1946
390,1947
390,1948
391,1949
391,1950
391,1951
391,1952
391,1953
392,1954
392,1955
392,1956
392,1957
392,1958
393,1959
393,1960
393,1961
393,1962
393,1963
394,1936
394,1964
394,1966
394,1967
394,1968
395,916
395,1969
395,1970
395,1971
395,1973
396,1974
396,1975
396,1976
396,1977
396,1978
397,1979
397,1980
397,1981
397,1982
397,1983
398,1984
398,1985
398,1986
398,1987
398,1988
399,160
399,1936
399,1989
399,1991
399,1992
400,1989
400,1994
400,1996
400,1997
400,1998
401,1929
401,2000
401,2001
401,2002
401,2003
402,160
402,2004
402,2005
402,2007
403,2009
403,2010
403,2011
403,2012
403,2013
404,2014
404,2015
404,2016
404,2017
404,2018
405,1912
405,2019
405,2021
405,2022
405,2023
406,2024
406,2025
406,2026
406,2027
406,2028
407,2019
407,2030
407,2031
407,2032
407,2033
408,2034
408,2035
408,2036
408,2037
408,2038
409,219
409,336
409,2040
409,2041
409,2042
410,579
410,2044
410,2045
410,2047
410,2048
411,2044
411,2048
411,2050
411,2051
411,2052
412,2054
412,2055
412,2056
412,2057
412,2058
413,160
413,2059
413,2060
413,2061
413,2063
414,2064
414,2065
414,2066
414,2067
414,2068
415,2069
415,2070
415,2071
415,2072
415,2073
416,282
416,2074
416,2075
416,2076
416,2077
417,225
417,282
417,319
417,2079
417,2080
418,225
418,282
418,319
418,1845
418,2085
419,225
419,282
419,284
419,2089
419,2091
420,225
420,319
420,2085
420,2094
420,2096
421,282
421,430
421,2099
421,2100
421,2103
422,469
422,2104
422,2105
422,2106
422,2108
423,2109
423,2110
423,2111
